catagory,date_time,duration,distance_in_km,pickup_by_postcode,dropoff_by_postcode,fare_euro,service_fee_euro,tax,earnings_euro,third_parties,tip,promotion,hour,day_name
UberX,2023-12-05 11:50:00,0:09:17,3.33,1011,1072,10.25,2.56,0.54,7.15,0.0,0.0,0.0,11,Tuesday
UberX,2023-12-05 12:05:00,0:09:03,2.5,1017,1017,9.0,2.25,0.47,6.28,0.0,0.0,0.0,12,Tuesday
Saver,2023-12-05 12:22:00,0:11:22,3.95,1016,1012,12.43,2.36,0.5,9.57,0.0,0.0,0.0,12,Tuesday
UberX,2023-12-05 12:42:00,0:20:14,5.44,1013,1071,16.72,4.18,0.88,12.66,0.0,1.0,0.0,12,Tuesday
Saver,2023-12-05 14:20:00,0:03:53,1.22,1082,1082,8.0,1.52,0.32,6.16,0.0,0.0,0.0,14,Tuesday
Saver,2023-12-05 14:35:00,0:11:08,7.3,1083,1101,12.88,2.45,0.51,14.92,0.0,5.0,0.0,14,Tuesday
UberX,2023-12-05 15:12:00,0:21:04,10.37,1101,1012,23.86,5.97,1.25,16.64,0.0,0.0,0.0,15,Tuesday
Saver,2023-12-05 15:54:00,0:13:02,7.17,1019,1096,17.12,3.25,0.68,13.19,0.0,0.0,0.0,15,Tuesday
Saver,2023-12-05 16:42:00,0:18:21,6.17,1096,1076,15.0,2.85,0.6,11.55,0.0,0.0,0.0,16,Tuesday
UberX,2023-12-05 17:09:00,0:20:37,10.8,1076,1013,24.39,6.1,1.28,22.01,0.0,0.0,5.0,17,Tuesday
UberX,2023-12-05 17:32:00,0:20:13,7.77,1013,1054,15.36,3.84,0.81,15.71,0.0,0.0,5.0,17,Tuesday
UberX,2023-12-05 18:10:00,0:10:52,3.59,1071,1018,12.39,3.1,0.65,13.64,0.0,0.0,5.0,18,Tuesday
UberX,2023-12-05 18:24:00,0:08:18,2.11,1018,1072,9.08,2.27,0.48,11.33,0.0,0.0,5.0,18,Tuesday
UberX,2023-12-06 08:26:00,0:26:05,11.84,1188,1074,25.42,6.36,1.34,17.72,0.0,0.0,0.0,8,Wednesday
UberX,2023-12-06 08:56:00,0:11:58,9.56,1074,1186,19.64,4.91,1.03,18.7,0.0,0.0,5.0,8,Wednesday
UberX,2023-12-06 09:18:00,0:11:56,5.65,1181,1083,13.7,3.43,0.72,9.55,0.0,0.0,0.0,9,Wednesday
UberX,2023-12-06 09:49:00,0:08:29,6.66,1083,1101,14.86,3.72,0.78,10.36,0.0,0.0,0.0,9,Wednesday
Saver,2023-12-06 10:28:00,0:16:13,16.98,1107,1061,24.52,4.66,0.98,18.88,0.0,0.0,0.0,10,Wednesday
UberX,2023-12-06 10:55:00,0:08:44,5.01,1061,1013,12.52,3.13,0.66,8.73,0.0,0.0,0.0,10,Wednesday
UberX,2023-12-06 11:11:00,0:07:07,3.19,1013,1051,9.69,2.42,0.51,6.76,0.0,0.0,0.0,11,Wednesday
UberX,2023-12-06 11:25:00,0:00:00,0.0,1051,1051,9.0,2.25,0.47,6.28,0.0,0.0,0.0,11,Wednesday
UberX,2023-12-06 12:35:00,0:14:38,2.93,1051,1012,9.46,2.37,0.5,6.59,0.0,0.0,0.0,12,Wednesday
UberX,2023-12-06 12:50:00,0:21:09,12.94,1016,1106,26.63,6.66,1.4,18.57,0.0,0.0,0.0,12,Wednesday
Saver,2023-12-06 14:18:00,0:22:56,20.08,1107,1055,30.19,5.74,1.21,23.24,0.0,0.0,0.0,14,Wednesday
Saver,2023-12-06 15:02:00,0:22:05,5.21,1055,1072,11.69,2.22,0.47,9.0,0.0,0.0,0.0,15,Wednesday
UberX,2023-12-06 15:51:00,0:16:27,4.88,1017,1018,13.7,3.43,0.72,9.55,0.0,0.0,0.0,15,Wednesday
UberX,2023-12-06 16:26:00,0:26:00,3.82,1018,1013,13.93,3.48,0.73,9.72,0.0,0.0,0.0,16,Wednesday
UberX,2023-12-06 17:10:00,0:16:37,5.1,1012,1018,14.28,3.57,0.75,15.96,0.0,1.0,5.0,17,Wednesday
UberX,2023-12-06 17:41:00,0:22:20,3.08,1018,1019,11.13,2.78,0.58,12.77,0.0,0.0,5.0,17,Wednesday
Saver,2023-12-06 18:24:00,0:14:13,5.24,1018,1012,11.46,2.18,0.46,13.82,0.0,0.0,5.0,18,Wednesday
UberX,2023-12-06 18:52:00,0:17:23,7.45,1016,1066,19.65,4.91,1.03,19.71,0.0,1.0,5.0,18,Wednesday
UberX,2023-12-06 19:16:00,0:08:57,3.67,1059,1081,11.82,2.96,0.62,10.24,0.0,2.0,0.0,19,Wednesday
UberX,2023-12-07 08:18:00,0:28:57,9.38,1181,1017,22.75,5.69,1.19,15.87,0.0,0.0,0.0,8,Thursday
UberX,2023-12-07 09:05:00,0:14:27,5.12,1071,1018,13.48,3.37,0.71,10.4,0.0,1.0,0.0,9,Thursday
UberX,2023-12-07 09:36:00,0:17:38,8.45,1019,1034,19.59,4.9,1.03,13.66,0.0,0.0,0.0,9,Thursday
Saver,2023-12-07 10:27:00,0:13:33,6.91,1032,1012,13.32,2.53,0.53,10.26,0.0,0.0,0.0,10,Thursday
UberX,2023-12-07 10:46:00,0:08:54,2.97,1019,1016,9.02,2.26,0.47,7.29,0.0,1.0,0.0,10,Thursday
UberX,2023-12-07 11:05:00,0:14:16,3.08,1012,1012,9.42,2.36,0.5,8.56,0.0,2.0,0.0,11,Thursday
UberX,2023-12-07 11:26:00,0:00:00,0.0,1013,1013,9.0,2.25,0.47,6.28,0.0,0.0,0.0,11,Thursday
UberX,2023-12-07 11:37:00,0:15:07,5.33,1013,1011,11.81,2.95,0.62,8.24,0.0,0.0,0.0,11,Thursday
Saver,2023-12-07 12:16:00,0:23:45,11.01,1094,1043,18.51,3.52,0.74,14.25,0.0,0.0,0.0,12,Thursday
UberX,2023-12-07 12:47:00,0:15:00,5.93,1043,1013,15.11,3.78,0.79,10.54,0.0,0.0,0.0,12,Thursday
UberX,2023-12-07 13:08:00,0:16:26,3.32,1013,1017,11.82,2.96,0.62,9.24,0.0,1.0,0.0,13,Thursday
UberX,2023-12-07 14:26:00,0:13:18,3.73,1017,1057,13.43,3.36,0.71,9.36,0.0,0.0,0.0,14,Thursday
Saver,2023-12-07 14:53:00,0:19:44,5.02,1071,1018,12.03,2.29,0.48,9.26,0.0,0.0,0.0,14,Thursday
